obs_ID,observer,year,nest,start_time_video,end_dt,type,partner_present,dt_behaviour,behaviour,who,sex,comments
86,cm,2012,s506,2012-Jun-19 15:56:20,2012-Jun-19 16:23:21,non,n,,n,o,m,
87,cm,2012,s506,2012-Jun-20 03:04:45,2012-Jun-20 03:34:28,non,n,,n,o,f,
88,cm,2012,s506,2012-Jun-20 06:18:26,2012-Jun-20 06:47:15,non,n,2012-Jun-20 06:18:26,c,o,m,
89,cm,2012,s506,2012-Jun-20 23:05:04,2012-Jun-20 23:34:34,non,n,,n,o,m,
90,cm,2012,s506,2012-Jun-21 08:51:59,2012-Jun-21 09:20:54,non,n,,n,o,f,
91,cm,2012,s511,2012-Jun-30 21:42:44,2012-Jun-30 22:12:02,ex,n,,n,o,m,
92,cm,2012,s511,2012-Jul-01 10:33:51,2012-Jul-01 11:03:34,ex,n,,n,o,f,
93,cm,2012,s511,2012-Jul-01 22:00:38,2012-Jul-01 22:29:56,ex,n,2012-Jul-01 22:09:07,f,o,m,
94,cm,2012,s511,2012-Jul-02 10:39:17,2012-Jul-02 11:08:51,ex,n,,n,o,f,
95,cm,2012,s511,2012-Jul-02 22:03:59,2012-Jul-02 22:33:23,ex,n,2012-Jul-02 22:08:08,c,o,m,
95,cm,2012,s511,2012-Jul-02 22:03:59,2012-Jul-02 22:33:23,ex,n,2012-Jul-02 22:08:17,c,o,m,
95,cm,2012,s511,2012-Jul-02 22:03:59,2012-Jul-02 22:33:23,ex,n,2012-Jul-02 22:08:36,c,o,m,
95,cm,2012,s511,2012-Jul-02 22:03:59,2012-Jul-02 22:33:23,ex,n,2012-Jul-02 22:11:35,c,o,m,
96,cm,2012,s511,2012-Jul-03 09:06:58,2012-Jul-03 09:34:51,ex,n,,n,o,f,
97,cm,2012,s511,2012-Jul-03 21:18:42,2012-Jul-03 21:47:55,ex,n,,n,o,m,
98,cm,2012,s511,2012-Jun-30 23:17:24,2012-Jun-30 23:46:42,non,n,,n,o,f,
99,cm,2012,s511,2012-Jul-01 02:23:20,2012-Jul-01 02:53:03,non,n,,n,o,f,
100,cm,2012,s511,2012-Jul-01 04:51:30,2012-Jul-01 05:20:48,non,n,,n,o,f,
101,cm,2012,s511,2012-Jul-02 12:49:20,2012-Jul-02 13:18:54,non,n,,n,o,m,
102,cm,2012,s511,2012-Jul-03 19:08:14,2012-Jul-03 19:36:07,non,n,,n,o,m,
103,cm,2012,s609,2012-Jun-24 19:08:18,2012-Jun-24 19:37:30,ex,n,,n,o,m,
104,cm,2012,s609,2012-Jun-25 05:37:00,2012-Jun-25 06:06:24,ex,n,,n,o,f,
105,cm,2012,s609,2012-Jun-26 20:03:19,2012-Jun-26 20:32:59,ex,n,,n,o,m,
106,cm,2012,s609,2012-Jun-24 17:50:30,2012-Jun-24 18:19:42,non,n,,n,o,m,
107,cm,2012,s609,2012-Jun-25 07:06:54,2012-Jun-25 07:36:18,non,n,,n,o,m,
108,cm,2012,s609,2012-Jun-26 21:25:00,2012-Jun-26 21:54:40,non,n,,n,o,f,
109,cm,2012,s705,2012-Jun-13 21:55:06,2012-Jun-13 22:24:55,ex,n,2012-Jun-13 21:55:28,c,o,m,
109,cm,2012,s705,2012-Jun-13 21:55:06,2012-Jun-13 22:24:55,ex,n,2012-Jun-13 22:04:27,c,o,m,
110,cm,2012,s705,2012-Jun-14 07:51:11,2012-Jun-14 08:20:48,ex,n,2012-Jun-14 08:02:25,c,o,f,
110,cm,2012,s705,2012-Jun-14 07:51:11,2012-Jun-14 08:20:48,ex,n,2012-Jun-14 08:18:45,c,o,f,
110,cm,2012,s705,2012-Jun-14 07:51:11,2012-Jun-14 08:20:48,ex,n,2012-Jun-14 08:20:21,c,o,f,
111,cm,2012,s705,2012-Jun-14 13:55:13,2012-Jun-14 14:24:33,ex,n,2012-Jun-14 14:06:41,c,o,m,
111,cm,2012,s705,2012-Jun-14 13:55:13,2012-Jun-14 14:24:33,ex,n,2012-Jun-14 14:19:13,c,o,m,
112,cm,2012,s705,2012-Jun-14 18:06:47,2012-Jun-14 18:36:18,ex,n,2012-Jun-14 18:16:41,c,o,f,
112,cm,2012,s705,2012-Jun-14 18:06:47,2012-Jun-14 18:36:18,ex,n,2012-Jun-14 18:13:48,f,o,f,
112,cm,2012,s705,2012-Jun-14 18:06:47,2012-Jun-14 18:36:18,ex,n,2012-Jun-14 18:16:50,c,o,f,
112,cm,2012,s705,2012-Jun-14 18:06:47,2012-Jun-14 18:36:18,ex,n,2012-Jun-14 18:16:55,c,o,f,
112,cm,2012,s705,2012-Jun-14 18:06:47,2012-Jun-14 18:36:18,ex,n,2012-Jun-14 18:17:00,c,o,f,
112,cm,2012,s705,2012-Jun-14 18:06:47,2012-Jun-14 18:36:18,ex,n,2012-Jun-14 18:17:04,c,o,f,
112,cm,2012,s705,2012-Jun-14 18:06:47,2012-Jun-14 18:36:18,ex,n,2012-Jun-14 18:34:51,c,o,f,
297,dt,2012,s705,2012-Jun-14 23:32:49,2012-Jun-15 00:02:26,ex,n,2012-Jun-14 23:32:51,c,o,m,
297,dt,2012,s705,2012-Jun-14 23:32:49,2012-Jun-15 00:02:26,ex,n,2012-Jun-14 23:41:18,c,o,m,
297,dt,2012,s705,2012-Jun-14 23:32:49,2012-Jun-15 00:02:26,ex,n,2012-Jun-14 23:48:51,c,o,m,
297,dt,2012,s705,2012-Jun-14 23:32:49,2012-Jun-15 00:02:26,ex,n,2012-Jun-14 23:55:23,c,o,m,
113,cm,2012,s705,2012-Jun-15 08:50:05,2012-Jun-15 09:19:45,ex,n,2012-Jun-15 08:55:17,c,o,f,
113,cm,2012,s705,2012-Jun-15 08:50:05,2012-Jun-15 09:19:45,ex,n,2012-Jun-15 09:16:06,c,o,f,
113,cm,2012,s705,2012-Jun-15 08:50:05,2012-Jun-15 09:19:45,ex,n,2012-Jun-15 09:16:10,c,o,f,
114,cm,2012,s705,2012-Jun-15 15:09:13,2012-Jun-15 15:38:44,ex,n,2012-Jun-15 15:28:51,c,o,m,
114,cm,2012,s705,2012-Jun-15 15:09:13,2012-Jun-15 15:38:44,ex,n,2012-Jun-15 15:38:05,c,o,m,
