obs_ID,year,nest,type,capture,cage,sound_ok,left_before_presence,shorter_obs,former_exchange,close_to_exchange,close_to_ex_comment,current_bout_biased,total_exclusion,comments
146,2012,s712,ex,n,n,y,n,n,NA,NA,,n,,
147,2012,s712,non,n,n,y,NA,n,n,n,,NA,,
148,2012,s712,non,n,n,y,NA,n,n,n,,NA,,
149,2012,s712,non,n,n,y,NA,n,n,n,55min after,NA,,
150,2012,s712,non,n,n,y,NA,n,n,n,,NA,,
151,2012,s801,ex,n,y,y,y,n,NA,NA,,n,,
152,2012,s801,ex,n,y,y,n,n,NA,NA,,n,,
153,2012,s801,ex,n,y,y,n,n,NA,NA,,n,,
154,2012,s801,ex,n,y,y,n,n,NA,NA,,n,,
155,2012,s801,ex,n,y,y,n,n,NA,NA,,n,,
156,2012,s801,ex,n,y,y,n,n,NA,NA,,n,,
157,2012,s801,non,n,y,y,NA,n,n,n,36min after,NA,,
158,2012,s801,non,n,y,y,NA,n,n,n,,NA,,
159,2012,s801,non,n,y,y,NA,n,n,n,,NA,,
160,2012,s801,non,n,y,y,NA,n,n,n,,NA,,
161,2012,s801,non,n,y,y,NA,n,n,y,10min after,NA,,
162,2012,s805,ex,n,y,y,n,n,NA,NA,,n,,
163,2012,s805,ex,n,y,y,n,n,NA,NA,,n,,
164,2012,s805,ex,n,y,y,n,n,NA,NA,,n,,
165,2012,s805,ex,n,y,y,n,n,NA,NA,,n,,
166,2012,s805,ex,n,y,y,n,n,NA,NA,,n,,
167,2012,s805,non,n,y,y,NA,n,n,n,,NA,,
168,2012,s805,non,n,y,y,NA,n,n,n,,NA,,
169,2012,s805,non,n,y,y,NA,n,n,n,,NA,,
170,2012,s805,non,n,y,y,NA,n,n,n,,NA,,
171,2012,s805,non,n,y,y,NA,n,n,n,,NA,,
172,2012,s817,ex,n,y,y,n,n,NA,NA,,NA,,
173,2012,s817,ex,n,y,y,n,y,NA,NA,,n,,
174,2012,s817,non,n,y,y,NA,n,n,n,,NA,y,system was just put on the nest
175,2012,s817,non,n,y,y,NA,n,n,n,,NA,,
176,2013,s402,ex,n,y,y,n,n,NA,NA,,NA,,
177,2013,s402,ex,n,y,y,n,n,NA,NA,,n,,
178,2013,s402,non,n,y,y,NA,n,n,n,,NA,,
179,2013,s402,non,n,y,y,NA,n,n,n,35min after,NA,,
180,2013,s406,ex,2,y,n,n,n,NA,NA,,n,,
181,2013,s406,ex,3,y,n,n,n,NA,NA,,n,,
182,2013,s406,ex,4,y,n,n,n,NA,NA,,n,,
183,2013,s406,non,0,y,n,NA,n,n,n,,NA,,
184,2013,s406,non,3,y,n,NA,n,n,n,,NA,,
185,2013,s406,non,4,y,n,NA,n,n,n,,NA,,
186,2013,s409,ex,n,n,y,y,n,NA,NA,,n,,
187,2013,s409,ex,n,n,n,NA,n,NA,NA,,n,,
188,2013,s409,ex,n,y,n,n,n,NA,NA,,n,,
189,2013,s409,ex,n,y,n,n,n,NA,NA,,n,,
190,2013,s409,ex,n,y,y,n,n,NA,NA,,n,,
191,2013,s409,non,n,n,y,NA,n,n,n,,NA,,
192,2013,s409,non,n,n,n,NA,n,n,n,,NA,,
193,2013,s409,non,n,y,n,NA,n,n,n,,NA,,
194,2013,s409,non,n,y,n,NA,n,n,n,,NA,,
195,2013,s409,non,n,y,y,NA,n,n,n,,NA,,
196,2013,s410,ex,n,n,y,y,n,NA,NA,,n,,
197,2013,s410,ex,n,n,y,n,n,NA,NA,,n,,
296,2013,s410,ex,n,n,y,n,n,NA,NA,,n,,
198,2013,s410,ex,n,n,y,n,n,NA,NA,,n,,
199,2013,s410,non,n,n,y,NA,n,n,n,,NA,,
200,2013,s410,non,n,n,y,NA,n,n,n,,NA,,
201,2013,s410,non,n,n,y,NA,n,y,n,30 min before,NA,,non observation ends 30 min before dt_left
202,2013,s410,non,n,n,y,NA,n,n,n,,NA,,
203,2013,s410,non,n,n,y,NA,n,n,n,,NA,,
204,2013,s506,ex,n,n,y,n,n,NA,NA,,n,,
205,2013,s506,ex,n,n,n,y,y,NA,NA,,n,,
206,2013,s506,ex,n,n,y,y,n,NA,NA,,n,,
207,2013,s506,non,n,n,y,NA,n,n,n,,NA,,
208,2013,s506,non,n,n,y,NA,n,n,y,55min before,NA,,
209,2013,s506,non,n,n,y,NA,n,n,n,,NA,,
210,2013,s510,ex,n,y,y,n,n,NA,NA,,n,,
211,2013,s510,ex,n,y,y,n,y,NA,NA,,n,,
212,2013,s510,ex,n,y,y,n,n,NA,NA,,n,,
213,2013,s510,ex,n,y,y,n,n,NA,NA,,n,,
214,2013,s510,ex,n,y,y,n,n,NA,NA,,n,,
215,2013,s510,ex,n,y,y,n,y,NA,NA,,n,,
216,2013,s510,ex,n,y,y,n,n,NA,NA,,n,,
217,2013,s510,ex,n,y,y,n,n,NA,NA,,n,,
218,2013,s510,ex,n,y,y,n,n,NA,NA,,n,,
219,2013,s510,ex,n,y,y,n,n,NA,NA,,n,,
220,2013,s510,non,n,y,y,NA,n,n,n,,NA,,
221,2013,s510,non,n,y,y,NA,n,n,n,,NA,,
222,2013,s510,non,n,y,y,NA,n,n,n,,NA,,
223,2013,s510,non,n,y,y,NA,n,n,n,,NA,,
224,2013,s510,non,n,y,y,NA,n,n,n,,NA,,
225,2013,s524,ex,2,y,y,n,n,NA,NA,,n,,
226,2013,s524,ex,3,y,y,n,n,NA,NA,,n,,
227,2013,s524,ex,4,y,y,y,n,NA,NA,,n,,
228,2013,s524,non,1,y,y,NA,n,n,n,,NA,,
229,2013,s524,non,3,y,y,NA,n,n,n,,NA,,
230,2013,s524,non,4,y,y,NA,n,n,n,,NA,,
231,2013,s526,ex,n,y,y,n,n,NA,NA,,n,,
232,2013,s526,ex,n,y,y,y,n,NA,NA,,n,,
233,2013,s526,ex,n,y,y,y,n,NA,NA,,n,,
234,2013,s526,ex,n,y,y,n,n,NA,NA,,n,,
235,2013,s526,ex,n,y,y,n,n,NA,NA,,n,,
236,2013,s526,ex,n,y,y,n,n,NA,NA,,n,,
237,2013,s526,ex,n,y,y,n,n,NA,NA,,n,,
238,2013,s526,non,n,y,y,NA,n,n,n,35min after,NA,,
239,2013,s526,non,n,y,y,NA,n,n,n,,NA,,
240,2013,s526,non,n,y,y,NA,n,n,n,,NA,,
241,2013,s526,non,n,y,y,NA,n,n,n,,NA,,
242,2013,s526,non,n,y,y,NA,n,n,n,,NA,,
243,2013,s527,ex,n,n,y,n,n,NA,NA,,n,,
244,2013,s527,ex,n,n,y,y,n,NA,NA,,n,,
245,2013,s527,ex,n,n,y,n,n,NA,NA,,n,,
246,2013,s527,ex,n,n,y,y,n,NA,NA,,n,,
247,2013,s527,ex,1,n,y,y,n,NA,NA,,NA,,
248,2013,s527,ex,2,n,y,y,n,NA,NA,,n,,
249,2013,s527,ex,3,n,y,n,n,NA,NA,,n,,
250,2013,s527,non,n,n,y,NA,n,n,n,,NA,,
251,2013,s527,non,n,n,y,NA,n,n,n,,NA,,
252,2013,s527,non,n,n,y,NA,n,n,n,,NA,,
253,2013,s527,non,n,n,y,NA,n,n,n,,NA,,
254,2013,s527,non,1,n,y,NA,n,n,n,,NA,,
255,2013,s608,ex,n,n,y,y,n,NA,NA,,NA,y,video time off and impossible to match with reality
256,2013,s608,ex,n,n,y,NA,n,NA,NA,,NA,y,video time off and impossible to match with reality
257,2013,s608,ex,n,n,y,y,n,NA,NA,,NA,y,video time off and impossible to match with reality
258,2013,s608,ex,n,n,y,y,n,NA,NA,,NA,y,video time off and impossible to match with reality
259,2013,s608,non,n,n,y,NA,n,n,,,NA,y,video time off and impossible to match with reality
260,2013,s608,non,n,n,y,NA,n,n,,,NA,y,video time off and impossible to match with reality
261,2013,s608,non,n,n,y,NA,n,n,,,NA,y,video time off and impossible to match with reality
262,2013,s608,non,n,n,y,NA,n,n,,,NA,y,video time off and impossible to match with reality
263,2013,s624,ex,n,n,y,y,n,NA,NA,,NA,,
264,2013,s624,ex,n,n,y,n,n,NA,NA,,n,,
265,2013,s624,ex,n,n,y,y,n,NA,NA,,n,,
266,2013,s624,non,n,n,y,NA,n,n,n,,NA,,
267,2013,s624,non,n,n,y,NA,n,n,n,,NA,,
268,2013,s624,non,n,n,y,NA,n,n,n,,NA,,
269,2013,s702,ex,n,y,y,n,n,NA,NA,,n,,
270,2013,s702,ex,n,y,y,n,n,NA,NA,,n,,
271,2013,s702,ex,n,y,y,n,n,NA,NA,,n,,
272,2013,s702,ex,n,y,y,n,n,NA,NA,,n,,
273,2013,s702,ex,n,y,y,n,n,NA,NA,,n,,
274,2013,s702,ex,3,y,y,n,n,NA,NA,,y,,current bout is just after the removed male retuned
275,2013,s702,ex,4,y,y,n,n,NA,NA,,n,,
276,2013,s702,ex,5,y,y,y,n,NA,NA,,n,,
277,2013,s702,non,n,y,y,NA,n,n,n,,NA,,
278,2013,s702,non,n,y,y,NA,n,n,n,,NA,,
279,2013,s702,non,n,y,y,NA,n,n,n,,NA,,
280,2013,s702,non,n,y,y,NA,n,n,n,,NA,,
281,2013,s702,non,3,y,y,NA,n,n,n,,NA,,
282,2013,s805,ex,n,y,y,n,n,NA,NA,,n,,
283,2013,s805,ex,n,y,y,n,n,NA,NA,,n,,
284,2013,s805,ex,n,y,y,n,n,NA,NA,,n,,
285,2013,s805,ex,2,y,y,n,n,NA,NA,,n,,
286,2013,s805,ex,3,y,y,n,n,NA,NA,,n,,
287,2013,s805,ex,4,y,y,n,n,NA,NA,,n,,
288,2013,s805,ex,5,y,y,n,n,NA,NA,,n,,
289,2013,s805,ex,6,y,y,n,n,NA,NA,,n,,
290,2013,s805,ex,8,y,y,n,n,NA,NA,,n,,
291,2013,s805,non,n,y,y,NA,n,n,n,,NA,,
292,2013,s805,non,n,y,y,NA,n,n,n,,NA,,
293,2013,s805,non,1,y,y,NA,n,n,n,,NA,,
294,2013,s805,non,2,y,y,NA,n,n,n,,NA,,
295,2013,s805,non,7,y,y,NA,n,n,n,,NA,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
